"idchem","label","definition"
211601,"Sulphur dioxide","A colorless, nonflammable gas with a pungent odor.  It can be manufactured by the combustion of sulphur, the roasting of sulphides or the calcining of sulphates.  It is an intermediate in the production of sulphuric acid and is used as a bleaching agent in various industries.  However, most exposures occur when the gas is released as an unwanted by-product of fuel-burning operations or in the smelting of sulphide ores.  "
211602,"Hydrogen sulphide","A flammable, poisonous gas which has the characteristic smell of rotten eggs.  It occurs naturally as a decomposition product of metal sulphides and other organic matter in mines, springs and sewers.  It is also a by-product of many chemical processes involving rayon, rubber, petroleum products, leather, and coke production.  "
211700,"Chlorine","This gas has a distinctive, irritating odor and a yellowish-green color.  It is mainly produced commercially by electrolysis of brine.  Chlorine has been used for the production of bleaching powders, the treatment of water supplies and refuse and for chlorination in swimming pools.  Exposure to chlorine may also occur when hypochlorites are used as bleaches and cleaning agents.  "
211701,"Hydrogen chloride","This colorless gas, heavier than air, may be used directly as a catalyst.  However, the aqueous solution of hydrogen chloride, known as hydrochloric or muriatic acid, is more commonly used industrially for pickling and cleaning metal parts, in the production of glues, in the manufacture of chlorine and pharmaceuticals, for tanning, etching, and for treating oils and fats.  Hydrogen chloride is also an unwanted contaminant in certain operations such as plastic pyrolysis (e.g., firefighters) and galvanizing.  "
211702,"Chlorine dioxide","An explosive green gas or red liquid with a characteristic pungent odor.  Since it is very unstable, it must be made on site just before use from chlorine and sodium chlorite.  It has been employed as a bleaching agent for wood pulp, textiles, fats, oils and flour, in the treatment of municipal water supplies and swimming pools, in the control of micro-organisms and in a variety of chemical processes.  "
220001,"Natural gas","A mixture of light aliphatic hydrocarbon gases, chiefly methane, in increasing demand as a fuel because of its low sulphur content.  It has been distributed in the Montreal area since 1957.  Mainly used in power plants, industrial process heating and space heaters.  This category was used to assign expossure among pipe fitters and plumbers repairing gas leaks.  It was also frequently coded as a background exposure for those exposed to the combustion products of natural gas (e.g., cooks).  
"
220101,"Methane","A colorless odorless gas, it is the principal constituent of natural gas.  It is sometimes known as marshgas (decomposition of natural organic matter) and as firedamp in coal mines.  Methane has been used as a fuel for cooking and heating, and as a  raw material for many synthetic products such as formaldehyde, acetylene, and hydrogen cyanide. "
220102,"Propane","A hydrocarbon used as a raw material for the production of several chemicals such as propylene, hydrogen and perchloroethylene.  It is used extensively by pipefitters and plumbers as a welding fuel and as fuel in restaurants and laboratories.  "
220501,"Formaldehyde","A colorless gas obtained by the oxidation of methyl alcohol, it is marketed as a 37% solution by weight under the name of formalin.  Formaldehyde has been mainly used for plastics and resin manufacture (see urea-formaldehyde, melamine-formaldehyde, and phenol-formaldehyde), as a disinfectant and fumigant, and as a preservative and hardener of tissues in embalming fluids. Exposure to formaldehyde in the workplace can result from the use of formaldehyde gas or formaldehyde solutions, from outgassing or thermal decomposition of formaldehyde resins or from thermal decomposition of other resins, plastics or organic materials.  "
220603,"Ethylene oxide","A colorless gas, made by vapor-phase oxidation of ethylene by air or oxygen.  This high volume chemical is used primarily as an intermediate in the production of ethylene glycol and glycol ethers, polyester fibers, films and molded objects and detergents.  It is also used as a fungicide for leather, as a fumigant for foodstuffs and in hospitals as a sterilizing agent for heat-sensitive objects.  "
221102,"Acetylene","A colorless gas obtained by reaction of calcium carbide and water or produced from petroleum; it is normally marketed compressed in cylinders.  It is used extensively for welding and flame cutting of metals and as a starting material for other chemicals.  "
221301,"Vinyl chloride","A colorless gas which has been produced commercially in the U.S. for over 50 years, mainly by halogenating ethylene.  Almost 96% of the total vinyl chloride produced is used to manufacture polyvinyl chloride resins;  minor quantities have been used in the past as aerosol propellants (notably in pressurized cans containing pesticides, hair lacquers, and artists' spray paint).  Possible exposures occur during the polymerization to PVC, production of vinyl chloride itself , fabrication of PVC products (because of trapped monomer escaping into the workplace) and, until 1974, use of certain aerosol propellants.   "
225001,"Phosgene","A colorless gas at room temperature which is made by the action of chlorine on carbon monoxide.  Once used as a war gas, it was later used mainly in the manufacture of many  organic chemicals.  Exposure mainly occurs as a product of combustion of volatile chlorinated solvents.  "
260001,"Anaesthetic gases","Substances that are used to make a patient insensible to pain during surgery.  Following are some of the more commonly used agents of the past 50 years, ordered by the date at which each was introduced:  diethyl ether (which was also coded separately), nitrous oxide, chloroform (which was also coded separately), cyclopropane, fluroxine, halothane, methoxiflurane and enflurane.  "
260002,"Propellant gases","Gaseous propellants used to form aerosols with liquids or solids.  The most common spray gases are chlorofluorocarbons, chlorinated hydrocarbons, propane, butane, vinylchloride (not used as a propellant since 1974), and methylene chloride.  Many personal hygiene products (hair sprays, shaving lather, deodorants and antiperspirants) contain spray gases.  "
270001,"Coal gas","Produced by heating coal, usually in the presence of steam, at temperatures in excess of 750°C.  The composition of the resulting gas can vary but contains roughly 50 to 53% hydrogen, 25 to 30% methane and 5 to 10% carbon monoxide; it has been used as a fuel for heating homes and for cooking in restaurants.  "
310001,"Gas welding fumes","Any fumes generated during the joining or cutting of metals using gas welding techniques.  In this process the heat of fusion is obtained from combustion of oxygen and one of several gases such as acetylene, methylacetylene-propadiene (MAPP), propane, and hydrogen.  Gas welding fumes include metal fumes from base and filler metals, fumes from the fluxes and from the combustible gases used.  "
310002,"Arc welding fumes","Any fumes generated during the joining or cutting of metals using arc welding techniques.  In this process the heat of fusion is obtained by striking an electric arc between an electrode and the metal workpiece.  The fumes coded here would include those generated from the base metal, from the electrodes and from electrode coverings (which may contain inorganic and organic fluxing compounds) and/or their decomposition products. "
310003,"Soldering fumes","Fumes generated during soldering operations.  Soldering is the joining of metal using a filler metal (solder) with a melting point less than 400°C.  The quality of the fumes depends on the composition of the solder and of the fluxes and on the production techniques used.  "
310004,"Metal oxide fumes","Any oxidized metal fumes formed during high temperature treatment of metals in industrial operations such as welding, casting, smelting, etc.  Exposure to metal oxide fumes was also coded when metallic compounds (e.g. thermal decomposition of paints containing inorganic pigments during welding operations) are vaporized.  "
311301,"Aluminium fumes","Fumes produced during high temperature processes involving aluminium (Al)-containing alloys or ores.  The major use of aluminium has been structural, in the building, aircraft, and automotive industries; it has also been used in housewares, and in containers and packaging.  Exposure to aluminium fumes has generally occurred during welding, casting or smelting and refining operations.  "
312001,"Calcium oxide fumes","Fumes generated during high temperature processes involving calcium oxide (CaO).  Exposure occurs during steel making where slag forming materials such as calcium oxide and dolomite are added to the charge as fluxing agents and in certain welding operations because carbon steel electrode coverings may contain calcium oxide.  "
312201,"Titanium fumes","Fumes generated during high temperature processes involving titanium (Ti) alloys or titanium dioxide.  Occupational exposure to these fumes is coded mainly to workers involved in welding operations.  Some electrode coverings contain titanium dioxide as a component giving rise to titanium dioxide fumes during welding.  Potential exposures could also occur during welding operations in aircraft engine manufacturing facilities using titanium-based alloys.  "
312401,"Chromium fumes","Fumes generated during high temperature processes involving chromium (Cr)-containing alloys or ores.  Exposure can occur during foundry work, welding operations, flame cutting, etc.  High exposure has been coded to stainless steel or high chromium (Cr) alloy steel welders, especially to those using manual metal arc welding techniques.  "
312501,"Manganese fumes","Fumes generated during high temperature processes involving manganese (Mn) or manganese-containing alloys.  Since all commercial steel contains some manganese which has been introduced in the process of deoxidizing and desulphurizing and to build the strength of the steel, almost all welders of mild and stainless steel have been coded for manganese fume exposures.  "
312601,"Iron fumes","Fumes generated during high temperature processes involving iron (Fe) or iron-containing alloys.  Exposure to iron fumes occurred during smelting, foundry work, welding and flame cutting operations.  "
312801,"Nickel fumes","Fumes generated during high temperature processes involving nickel (Ni)-containing alloys or ores.  The use of high alloyed steels containing a higher proportion of nickel has been increasing in the chemical and aircraft industries resulting in increased exposure to nickel containing aerosols.  Exposure occurred mainly during smelting, casting, welding and flame cutting operations.    "
312901,"Copper fumes","Fumes generated during high temperature processes involving copper (Cu), copper-containing alloys or ores.  Exposure to copper fumes generally occurs during welding, casting, or smelting and refining operations.  "
313001,"Zinc fumes","Fumes generated during high temperature processes involving zinc (Zn)-containing alloys or ores.  Exposure can occur during foundry and galvanizing operations,  brass, bronze and babbitt making and during welding of zinc-containing alloys such as those used in roofing material, pipelines, appliances, and other galvanized materials. "
314701,"Silver fumes","Fumes generated during high temperature processes involving silver (Ag), silver-containing alloys or ores.    Exposure occurred mainly in foundry, flame cutting, welding, soldering and jewelry making occupations.  "
314801,"Cadmium fumes","Fumes generated during high temperature processes involving cadmium (Cd) or cadmium-containing alloys.  Exposure can occur during founding, welding, flame cutting, glass manufacturing and pyrolysis of colored plastics.  Exposure to cadmium fumes readily occurs in foundries using scrap metal due to the low melting point of cadmium metal (321°C).  "
315001,"Tin fumes","Fumes generated during high temperature processes involving tin and tin (Sn)-containing alloys or ores.  Tin melts at a relatively low temperature (232°C).  It is used extensively in solder alloys.  Tin fumes have been coded to workers in plumbing and pipe-fitting occupations where gas welding or torches are used, but they have not been coded to workers using electric soldering irons which operate at a much lower temperature. "
318201,"Lead fumes","Fumes generated during high temperature processes involving lead (Pb), lead-containing alloys or lead-containing ores.  During roasting of ores a substantial amount of lead is released into the environment.  Exposure has been especially prominent in certain foundry operations, in the soldering of tin cans and radiators, in the recycling of battery plates and babbitt metal, in the manufacturing of shots and bullets, in the spraying of molten lead alloys and in the casting of type metals.  "
370001,"Other pyrolysis fumes","A mixture of gases, fumes and particulates of variable composition generated by the heating or burning of organic substances.  Included are those fumes which did not fit in any of the other pyrolysis or combustion product categories on our list.  Examples are the pyrolysis of paint during heat stripping or welding of coated surfaces, or fumes generated during welding of oil-covered surfaces.  "
370002,"Cooking fumes","A mixture of volatile substances of variable composition resulting from the thermal degradation of fats and other food constitutents.  Significant quantities of aliphatic aldehydes (formaldehyde and acrolein) have been measured.  The temperature and method used for cooking (deep-frying, roasting, charcoal broiling), the type of fat involved, and the number of times it has previously been heated can influence the level of contaminants present in the resulting fumes.  "
370004,"Engine emissions","Emissions of internal combustion engines running on leaded or unleaded gasoline (automobiles, aircraft, lawnmovers, motorboats, chainsaws).  
"
370005,"Coal combustion products","A mixture of gases and particulates generated when coal is used as a heat or energy source.  Includes variable amounts of particulates such as carbon, silica, alumina, and iron oxides as well as gases such as aldehydes, carbon monoxide, nitrogen oxides, hydrocarbons, and sulphur oxides.  Coal combustion has been widespread in certain industries and was also widely used for domestic purposes until the 1950s.  "
370006,"Diesel engine emissions","Emissions of internal combustion engines running on diesel fuels.  Engines operating on diesel fuels are used in mines and quarries, railways, buses, trucks etc.  Although many workers exposed to gasoline engine emissions would also be exposed to smaller amounts of diesel exhaust, a separate exposure to diesel emissions was coded only when the worker was exposed to higher than environmental background levels. "
370008,"Liquid fuel combustion products","A mixture of gases and particulates generated when liquid fuel is used as a heat or energy source.  Includes variable amounts of gases such as carbon monoxide, nitrogen oxides, sulphur dioxide. Liquid fuel is mainly used as a heating fuel in domestic, commercial and industrial heating installations.  "
370009,"Wood combustion products","A mixture of gases and particulates generated when wood is used as a heat or energy source.  Includes variable amounts of gases such as aldehydes and carbon monoxide, benzo(a)pyrene and other PAHs .  "
370010,"Natural gas combustion products","A mixture of gases generated when natural gas is used as a heat or energy source.  Contains substantial amounts of nitrogen oxides, but unlike most other combustion products, little carbon monoxide.  Natural gas has been widely available in Montreal since 1957 and was used extensively for cooking purposes.  "
370012,"Propane engine emissions","Emissions of internal combustion engines running on propane.  Includes variable amounts of gases such as carbon monoxide, nitrogen oxides, and some hydrocarbons resulting from incomplete combustion.  Potential exposure to propane engine emissions are coded mainly to propane powered lift trucks operators.  "
370013,"Plastics pyrolysis fumes ","A mixture of gases, fumes and soot resulting from the thermal degradation of plastic products. Individual constituents vary depending on the type of plastic and the temperature involved. Carbon monoxide, carbon dioxide, methane, aliphatic, and aromatic hydrocarbons are the main gases. The fumes often contain products resulting from an incomplete combustion, such as aldehydes, fatty acids and oligomers, etc.  "
370014,"Rubber pyrolysis fumes ","A mixture of gases, fumes and soot resulting from the thermal degradation of rubber (both natural and synthetic) or rubber products. The composition of the resulting fume varies greatly and depends mainly on the type of rubber, the presence of chemical additives and on the temperature of the process. Typically, these mixtures could contain amines, N-nitrosamines, organic sulphides, carbon disulphide and PAHs.  "
370015,"Propane combustion products","Propane gas is a convenient combustion fuel because it is marketed in bottles, as opposed to natural gas which is delivered though permanent gas lines. Exposure to the combustion products of propane occurs mainly because of its use as a cooking fuel (especially where natural gas is unavailable, e.g., trains), a welding torch fuel (especially used in plumbing, pipe-fitting and jewelry work), and as a fuel for softening roofing asphalt.  "
370016,"Coke combustion products","A mixture of gases and particulates generated when coke is used as a heat or energy souce.  Coke is a black, porous, material manufactured by destructive distillation of coal in the absence of air for 18 hours or longer at about 1400 °C.  During that time, most of the content of coal is volatilized, leaving a mass of high-carbon material.  Combustion products of coke include carbon monoxide and nitrogen oxides.  Coke is mainly used in steel making, where iron?bearing materials, limestone, and coke are the principal raw materials.  Anodes for aluminium production are made by blending coke and hot pitch.  Exposure occurs during the use of these anodes for aluminium production.  "
410001,"Inorganic acid solutions","Inorganic acids are high volume chemicals used extensively in chemical process industries (fertilizers, soap, rayon, film, and explosives manufacturing, etc.).  Solutions of hydrochloric, sulphuric, and nitric acids are the main substances included in this category. They have been used in batteries, as metal cleaners, as chemical reagents in laboratories, and in the pharmaceutical industry.  "
410002,"Caustic alkali solutions ","Sodium and potassium hydroxide, known respectively as caustic soda and caustic potash, are the main chemicals in this category.  However, exposure to other alkaline solutions (e.g., sodium carbonate solutions)  or alkaline solutions of unknown composition were also included here.  Caustics have been used in the manufacture of rayon, mercerized cotton, soap, paper, explosives and dyestuffs.  They have also been used in textile scouring and cleaning baths, for the etching of aluminium, for tin plating, for water softening, as oven cleaners, as drain openers and in laundering and bleaching.  "
410005,"Plating solutions","Includes all the electrolytes used for electroplating processes, whether the base product is metal or plastic.  These are aqueous solutions containing, among other constituents, the salt of the metal being plated.  Several inorganic acids are also used routinely, namely, boric, hydrochloric, hydrofluoric and sulphuric.  Alkaline solutions are based primarily on sodium or potassium hydroxide.  "
410704,"Nitric acid","A reddish fuming liquid usually marketed in aqueous solutions.  The main uses of nitric acid are in the production of fertilizers and explosives.  It has also been used in metal degreasing, electroplating, and as a reagent in chemical laboratories.  "
410802,"Hydrogen peroxide","A colorless, water soluble liquid which is commonly marketed as an aqueous solution in concentrations of 3 to 90% by weight.  It has  mainly been used as a bleach for cotton, wool, groundwood pulp, and hair.  "
411501,"Phosphoric acid","A colorless, syrupy liquid usually sold as an aqueous solutions containing between 10 and 90% acid.  It is mostly converted into calcium or ammonium phosphates for fertilizers, but can also be used to etch metals for better paint adhesion.  Phosphoric acid has also been used in the textile, rubber and food industries.  "
411603,"Sulphuric acid","An oily, highly corrosive liquid made by burning sulphur to the dioxide, oxidizing to the trioxide and reacting with steam.  Produced industrially for over 200 years, this is an important raw material in the manufacture of fertilizers, rayon, and soap and is also commonly used in chemistry laboratories and in the pharmaceutical industry.  It has also been used in the pickling and cleaning of metals, as an electrolyte in batteries, and  in the purification of petroleum products. "
420201,"Methanol","Also known as methyl alcohol, this chemical is the first member of a homologous series of monohydric aliphatic alcohols.  It can be obtained by destructive distillation of wood at about 350°C, but is now mainly synthesized from carbon monoxide.  Methanol has been used as the starting material in the manufacture of many chemical products (e.g., formaldehyde), as a solvent in inks, paints and varnishes and for fur cleaning.  It is also used in antifreeze mixtures and as an additive for aircraft fuel injection fluids.  "
420202,"Ethanol","A colorless, flammable, volatile liquid with a pleasant odor but a burning taste, produced by fermentation of carbohydrates or synthetically from acetylene or ethylene.  Also known as ethyl alcohol, it is used in variety of alcoholic beverages.  Industrial or denatured alcohol is used as a solvent in the manufacturing of drugs, plastics, lacquers, polishes, perfumes, cosmetics and rubber accelerators.  "
420203,"Ethylene glycol","A colorless syrupy liquid produced from ethylene dichloride or ethylene chlorohydrin and lime.  It is used mainly as anti-freeze for automobile-engine cooling systems but has also been used in the production of explosives (nitrated), in cellophane, hydraulic fluids, adhesives and radio condenser pastes.  "
420204,"Isopropanol","A colorless, flammable, mobile liquid, produced by the hydration of propylene from cracked gases.  It has been used mainly in the manufacture of acetone, but is also used in extraction processes, as a solvent (chiefly for oils, perfumes and synthetic resins), in liniments, skin lotions, cosmetics and pharmaceuticals.  It has been used in rubbing alcohols and as an antistalling agent in winter grade motor fuels.  "
420401,"Acetic acid","An organic acid with a pungent odor and sour taste, it is manufactured commercially by the oxidation of ethyl alcohol.  It is the principal ingredient of vinegar.  In industry it has been used as a raw material for a variety of chemical syntheses, as a mild acid in textile dyeing and printing, and as a solvent for insecticides.  "
420403,"Formic acid","The simplest of the organic acids, it is a colorless pungent liquid prepared synthetically from carbon monoxide, sodium hydroxide and sulphuric acid.  It has been used in textiles, in deliming of pelts before tanning, as a food preservative, a germicide, as an aid to fermentation in breweries and as a coagulant in rubber.  "
420602,"Diethyl ether","A highly volatile colorless organic liquid made from ethyl alcohol.  It is used as a solvent for waxes, fats, oils, gums, cellulose acetate, and cellulose nitrate.  Diethyl ether was introduced as an inhalation anesthetic in 1842 and continues to be used for this purpose.  "
420701,"Nitroglycerine","A pale yellow oily highly explosive liquid made by the action of nitric acid on glycerin in the presence of sulphuric acid.  It is a major component of dynamite.  It is used in combination with an absorbent such as wood flour or ethylene glycol nitrate to reduce its sensitivity.  "
420702,"RDX","Also known as cyclotrimethylenetrinitramine or cyclonite, it is a white crystalline high explosive made by treating hexamethylenetetramine with nitric acid.  It was used extensively during World war II as a component of bursting charges for bombs, torpedoes, mines and rockets. It is very sensitive to shock and is mixed with waxes or plasticizers to reduce sensitivity.  "
420801,"Carbon tetrachloride","A nonflammable heavy, colorless liquid obtained by the chlorination of carbon disulphide.  It is an exceptionaly good solvent.  Before the 1970s it was extensively used as a degreaser in metal fabricating and in the textile dry cleaning industry.  It was also used as a solvent in household spot removing products and in fire extinguishers.  Now it is mainly used in the production of fluorocarbons and chlorinated rubbers and as a grain fumigant.  "
420802,"Chloroform","A colorless volatile liquid, produced mainly by chlorination of methane.  It was introduced as a general anesthetic in 1847 and was used for this purpose until the 1950s.  It was formerly used in the pharmaceutical industry and in chemistry labs; now, however, it is mostly used as a chemical intermediate in the manufacture of fluorocarbons.  "
420803,"Methylene chloride","Also known as dichloromethane, this nonflammable colorless liquid is prepared by the chlorination of chloromethane or methane.  It has outstanding solvent properties.  It has been used as a paint remover and solvent degreaser, in aerosol formulations, and as a solvent in food and drug processing.  "
420804,"1,1,1-Trichlorethane","Also known as methyl chloroform, this colorless liquid has exceptional solvent and nonflammable properties making it useful as a cleaning solvent for electric motors, generators, and many other electrical and electronic apparatus.  It has replaced carbon tetrachloride in metal degreasing (which was banned because of the toxicity associated with this product).  It has also been used as a chemical intermediate in the production of vinylidene chloride.  "
421001,"Carbon disulphide","A highly volatile and extremely flammable liquid made by reacting together carbon and sulphur.  It is an excellent solvent for organic compounds and is used in laboratories for chemical analysis.  By far the most important use of this compound is in the production of regenerated cellulose (rayon) and carbon tetrachloride.  It has also been used in the vulcanization of rubber (this use is becoming less common), in making neoprene cement, and in fumigating grain.  "
421302,"Trichloroethylene","A colorless liquid prepared from 1,2-dichloroethane.  Also known as Tri-clene®, it has been widely used as a solvent in vapor degreasing since the early 1930s; it provides economical cleaning of greases, tars, oils and fats from metal parts.  Other applications have included decaffeinating coffee (as an extraction solvent) and as a solvent for adhesives and lubricants.  "
421303,"Perchloroethylene","A stable colorless liquid, also known as tetrachloroethylene.  It is nonflammable and has exceptionally good solvent properties.  As a solvent it is used in both cold cleaning and vapor degreasing of metals and is the solvent of choice in the textile dry cleaning industry.  It has also been used as a chemical intermediate for the production of fluorocarbons, and to a lesser extent as a heat-exchange fluid, and as a drug against hook worms.  "
421404,"Methyl methacrylate","A colorless liquid which readily polymerizes to a polymethylmethacrylate or plexiglass.  Exposure to the monomer occurs when manufacturing the polymer or dissolving it, since methyl methacrylate is commonly used as a solvent for acrylic resins or as a binding agent for plexiglass.  Acrylic resins have been used to make dentures since the 1940s, or earlier, and are also widely used for other dental work.  "
421501,"Acetone","A colorless, flammable liquid, made from isopropanol or by a special fermentation of grain.  It is an important industrial solvent, used in the manufacture of lacquers, plastics, smokeless powder, and as a solvent in nail finishes and polish removers.  It is also used as a fast drying solvent in chemical laboratories.  "
430101,"Benzene","A clear, volatile liquid, derived from coal or petroleum.  Industrial benzene which may contain impureties is often known as benzol.  It is used as a reagent (chemical and pharmaceutical industries), a solvent (rubber and adhesive industries) and as a constituent of motor fuels.  Exposure to benzene was often the result of exposure to solvent mixtures such as pre-1970 mineral spirits.  "
430102,"Toluene","A liquid  derived from coal or petroleum.  Industrial toluene which may contain impureties is often known as toluol.  It is used as a solvent (in paints, inks and rubber adhesives), in the production of explosives, dyestuffs and many other chemicals, and in gasoline blending.  Exposure to toluene was often the result of exposure to solvent mixtures such as pre-1970 mineral spirits.  "
430103,"Xylene","A clear liquid produced both from petroleum and coal tar and marketed principally as a mixture of ortho, meta and para isomers.  Itis generally referred to as mixed xylenes.  Industrial grades of xylene which may contain impureties are often called xylol.  Xylenes are used as solvents in lacquers, varnishes, inks, dyes and adhesives and as components in gasoline.  Exposure to xylene was often the result of exposure to solvent mixtures such as pre-1970 mineral spirits.  "
430104,"Styrene","A colorless viscous liquid, produced mainly by dehydrogenation of ethylbenzene.  It is mainly used in the production of plastic resins and synthetic rubbers such as polystyrene plastics and foams, acrylonitrile-butadiene-styrene (ABS), and styrene-acrylonitrile (SAN) resins, and styrene-butadiene rubber (SBR).  Occupational exposure has occurred in plants producing the monomer, in polymerization plants and during fabrication of plastic products from unsaturated polyesters dissolved in styrene.  "
430201,"Phenol","A white crystalline material derived from coal tar. This aromatic alcohol is mainly used in the chemical industry to manufacture phenol-formaldehyde resins, bisphenol-A (used to manufacture epoxy and polycarbonate resins) and various other chemicals.  It has also been used as a wound disinfectant and a bactericide.  Low-level exposures can also result from thermal degradation of phenol-formaldehyde resins (in foundries where these resins are binders for sand molds and cores or in electrical motor varnishing operations where phenol-formaldehyde is used as an electrical insulating varnish). "
430701,"Trinitrotoluene","Acrystalline substance resembling brown sugar, made by treating toluene with nitric and sulfuric acids. Also known as TNT, it is the principal constituent of many explosives.  It has been widely used as a filling for shells and bombs often mixed with ammonium nitrate and other high explosives."
440001,"Animal, vegetable glues","Natural glues that include commercial gelatine (hydrolyzed animal collagen, hides, bones, etc.), casein (casein with lime), soybean adhesives (soybean flour dispersed in an alkaline solution), dextrines (hydrolysed starches), and mucilages.  These adhesives have been used for wood and paper products but their use has declined somewhat since the advent of synthetic adhesives.  "
440002,"Turpentine","An oil obtained by steam distillation of the resin which exudes when various conifer trees are cut.  The exact composition of this mixture of terpenes varies according to the country and tree of origin.  It has long been recognized as an important solvent and thinner in the paint industry and as a source of resins; it has also been used in the manufacture of linoleum, soap and inks.  "
440003,"Linseed oil","A mixture of the glycerides of linolic, linoleic, stearic and palmitic acid.  It is a golden yellow, amber or brown liquid that is classified as a drying oil; it has been used for years as a binder in paints and in foundry molds.  "
460002,"Synthetic adhesives","Includes all adhesives based on synthetic resins and rubbers, such as formaldehyde resins, epoxy resins, polyvinyl acetate resins, and hot melts.  Many of these adhesives contain organic solvents.  Adhesives are used in many industries, particularly in the furniture and shoe industries.  "
460003,"Organic solvents","Organic liquids used as paint thinners, spot removers, dry cleaning agents, diluents, degreasers, chemical reagents, liquid extraction agents, and for many other purposes.  Among the first organic liquids used for this purpose were turpentine, benzene, gasoline and naphtha.  More recently, non-flameable chlorinated hydrocarbons came into wider use. "
460004,"Waxes, polishes","Includes waxes and polishes for floors, automobiles, leather and furniture.  These may contain a variety of substances of animal and vegetable origin such as fatty acids in combination with higher alcohols, petroleum distillates (kerosene, mineral spirits, paraffin waxes), abrasives, and perfumes. "
460005,"Leaded gasoline","A mixture of hydrocarbons in the C4 to C12 range produced from petroleum and consisting mainly of straight-chain paraffins which boil within the temperature range of about 30°C to 200°C.  It is used as a fuel for automobiles, marine engines and other small engines.  Exposures coded in this category are correlated with the years where most gasoline was blended with lead alkyls to increase its octane number."
460006,"Kerosene","A petroleum fraction boiling between approximately 180°C and 320°C.  It usually consists of a mixture of hydrocarbons containing 10 to 16 carbons per molecule.  It has been widely used as an illuminant, as a cleaning solvent, and in insecticides.  It is chemically similar to jet fuel and to some heating oils. "
460007,"Diesel oil","A complex combination of hydrocarbons produced by the distillation of crude oil.  It consists of hydrocarbons having carbon numbers predominantly in the range C9-C20 and boiling in the range of approximately 163°C to 375°C. This category encompasses all grades of diesel fuel from light automotive fuels up to heavy marine fuels.  "
460008,"Heating oil","Also known as fuel oil, heating oil is a mixture of hydrocarbons derived from crude oil by various refining processes.  Its chemical composition is similar to that of diesel oil. Two broad classes of heating oil are included in this category:  the lighter distillates used as domestic fuel, and the residuals are mainly used in industrial or commercial installations.  Most exposures covered by this category were to the domestic heating oils."
460009,"Mineral spirits post-1970","Refined petroleum solvents with carbon chain lengths of C5-C12 and boiling ranges of 150°C to 210°C, used since 1970.  Various solvent mixtures known as VM&P naphtas (Varnish makers and painters' naphthas), Stoddart solvent and White spirits are included here but purely aliphatic mixtures such as petroleum ethers, which generally boil at lower temperatures, are excluded.  A typical chemical composition for mineral spirits would be: 80 to 86% saturated hydrocarbons, 1% olefins, 0.1% benzene and 13 to 19% other aromatics. "
460011,"Crude petroleum","A complex mixture of aliphatic and aromatic hydrocarbons containing low percentages of sulphur and trace amounts of nitrogen and oxygen compounds.  Created by the decomposition of prehistoric plants and animals, it is the main source of the world's energy and the main feedstock of the petrochemical industry.  "
460012,"Lubricating oils and greases","Lubricants are substances which are intended to reduce friction between surfaces in relative motion.  They can be of animal, vegetable or mineral origin. Synthetic lubricating oils and silicone oils and greases were also included in this category.  The term greases applies to solid or semi-solid lubricants. Most lubricants are formulated with a variety of additives."
460014,"Asphalt","A thermoplastic dark brown to black cementitious substance in which the predominant constituents are bitumens obtained by the processing of petroleum crude oils.  Asphalt used for roofing, road surfacing, insulating varnishes, acid resistant paints, and similar products may contain earthy materials such as sand or limestone.  "
460015,"Coal tar and pitch","By-products of the destructive distillation of coal, coal-tars are complex combinations of hydrocarbons, phenols and heterocyclic compounds, while pitches, which are derived from coal tar, contain PAHs and their methyl and polymethyl derivatives as well as heteronuclear compounds.  They have been used for waterproof coatings, for road surfaces and as a chemical feedstock. Petroleum-derived products have gradually replaced such coal-tar based products.  Pitch is still used for waterproof marine coatings, but its main use is in the manufacture of electrodes.  "
460017,"Creosote","A brownish to black oily liquid obtained from high temperature carbonization of coal tar.  It consists of a mixture of guaïacol, cresol, phenol, pyrol, pyridine and other aromatic compounds.  For industrial uses, it is mixed with coal tar and petroleum and used in the  preservation of wood for railroad ties, telegraph poles, pilings for   piers and blocks for flooring.  It has also been used as a harsh disinfectant, an animal dip and as a lubricant for die molds.  "
460019,"Hydraulic fluid"," Moving parts of many industrial machines are actuated by hydraulic fluids which are under pressure.  Many are mineral-oil based (straight mineral oils or oil-water emulsions) but other oils (i.e., castor oil), solvents (most notably glycols or glycol ethers) and synthetic fluids are also used. Small quantities of various additives are usually present.  "
460022,"Other mineral oils","These petroleum-derived oils contain relatively high molecular-weight paraffinic, cycloparaffinic, and aromatic hydrocarbons.  The composition of these oils is similar to that of some lubricating oils, hydraulic fluids, or cutting fluids.  This category included textile oils, heat treating oils, rolling oils, drawing oils, rubber oils, forging oils, mold-release oils ,and the mineral oils used in ink formulations. "
460026,"Aviation gasoline","Fuel used to power small piston engine aircraft, with a relatively high content of branched alkanes and a boiling range of about 50°C to 170 °C. "
460027,"Mineral spirits pre-1970","Refined petroleum solvents with carbon chain lengths of C5-C12 and boiling ranges of 150°C to 210°C, used before 1970.  Before 1970 mineral spirits contained relatively higher amounts of benzene, toluene and xylene due to ignorance of their toxic effects.  A typical chemical composition for mineral spirits before this time period would roughly be: 80 to 86% saturated hydrocarbons, 1% olefins,  and 13 to 19% aromatics (usually containing at least 1% benzene and relatively greater quantities of toluene and xylene than mineral spirits post 1970).  "
